Tops,Mixed,Jacket,Pants,Bottom,Jumpsuit,Hoodie,Dress
Top,Kurta with Churidar,Shrug,Treggings,Midi Skirt,Jumpsuit,Solid Pullover,A-Line Kurta
Tunic,Kurta with Pyjamas,Ethnic Jacket,Regular Trousers,Skirt,,,A-Line Dress
Kaftan Top,Kurta with Trousers,Cardigan,Solid Trousers,Churidar Leggings,,,Straight Kurta
Casual Shirt,Lehenga & Blouse with Dupatta,Waistcoat,Flared Solid Palazzos,Readymade Dhoti,,,Kurti
A-Line Top,Straight Kurti,Kurta with Longline Ethnic Jacket,Palazzos,A-Line Flared Skirt,,,Winter Kurta
Shirt Dress,Kurta with Salwar,Maxi Dress with Ethnic Jacket,Parallel Trousers,Maxi Tiered Skirt,,,Silk Kurta
High-Low Top,Kurta with Dhoti Pants,Kurta with Churidar & Nehru Jacket,Cropped Trousers,Midi Flared Skirt,,,Pathani Kurta
Sweater,Ready to Wear Lehenga with Blouse,Tailored Jacket,Dhoti Pants,,,,Striped Kurta
Shirt,Kurti with Trousers,Printed Top with Palazzos & Jacket,Trousers,,,,Printed Empire Dress
Tunic with Bell Sleeves,Kurti with Palazzos,Anarkali Churidar Kurta with Jacket,Casual Trousers,,,,Printed Shirt Dress
Shirt Style Top,Lehenga Choli with Dupatta,Maxi Dress with Printed Jacket,Leggings,,,,Empire Dress
A-Line Tunic,Kurta with Pyjama,,Palazzo,,,,Fit & Flare Dress
Blouson Top,Lehenga Choli,,Palazzo Trouser,,,,Cold-Shoulder Kaftan Kurta
Regular Top,Kurti with Sharara,,Culottes,,,,Casual Kurta
Sweater Dress,Kurta with Palazzo,,Flared Striped Palazzos,,,,Khaki Kurta
Sweater Kurta,Kurta Set,,Cigarette Trousers,,,,Angrakha Anarkali Kurta
Self Design Top,Kurti with Dhoti Pants,,Straight Hem Design Palazzos,,,,Chanderi Blend Kurta
Flared Printed Palazzos,Lehenga with Choli,,Flat-Front Trousers,,,,Straight Pleated Kurta
Striped Kurti,Lehenga Choli with Cape,,Regular Fit Trousers,,,,Cotton Kurta
Peplum Top,Abaya,,Flared Hem Design Palazzos,,,,Polyester Kurta
Tunic Shirt,Angrakha Kurta with Trousers,,,,,,Handloom Kurtas
BIBA Coral Red Top with Lace Detail,Flared Kurti,,,,,,
Self Design Tunic,Kurta with Patiala Set,,,,,,
High-Low Tunic,,,,,,,
Cold-Shoulder Top,,,,,,,
Wrap Top,,,,,,,
Biba Girls Off-White Top with Woven Design,,,,,,,
T-shirt,,,,,,,
Layered Top,,,,,,,
Top with Embroidered Detail,,,,,,,
Denim Shirt,,,,,,,
Layered Tunic,,,,,,,
Shirt-Style Top,,,,,,,
Solid Shirt Style Top with Ruffles,,,,,,,
Tunic with Crochet Trims,,,,,,,
Blouson Top with Lace Detail,,,,,,,
